50k

FCFS(tat: 505.32718, ntat: 23.261535669135096, tw: 405.80196)
RR2(tat: 498.41092, ntat: 5.08370845124324, tw: 398.8857)
RR4(tat: 498.5047, ntat: 5.300999258467295, tw: 398.97948)
RR8(tat: 498.57206, ntat: 5.760434436606616, tw: 399.04684)
SPN(tat: 289.58186, ntat: 5.85259889114959, tw: 190.05664)
SRT(tat: 235.84924, ntat: 1.5845149252902475, tw: 136.32402)
HRRN(tat: 353.06768, ntat: 7.2599598257865186, tw: 253.54246)
MLFB1(tat: 497.93912, ntat: 4.290606770460834, tw: 398.4139)
MLFB2(tat: 497.61924, ntat: 3.9491865939035593, tw: 398.09402)


20k

FCFS(tat: 536.4218, ntat: 22.967932932488004, tw: 435.63885)
RR2(tat: 544.03175, ntat: 5.3911879810720045, tw: 443.2488)
RR4(tat: 543.9317, ntat: 5.6045326545602245, tw: 443.14875)
RR8(tat: 543.67225, ntat: 6.063646116203471, tw: 442.8893)
SPN(tat: 297.2415, ntat: 5.701718876318041, tw: 196.45855)
SRT(tat: 246.9827, ntat: 1.6121127495673315, tw: 146.19975)
HRRN(tat: 373.0348, ntat: 7.120216188515877, tw: 272.25185)
MLFB1(tat: 545.42095, ntat: 4.612691232469909, tw: 444.638)
MLFB2(tat: 545.94295, ntat: 4.251080257100117, tw: 445.16)


10k

FCFS(tat: 540.6591, ntat: 26.936940030909213, tw: 441.0112)
RR2(tat: 542.7216, ntat: 5.5402730351823335, tw: 443.0737)
RR4(tat: 542.6396, ntat: 5.803579033401698, tw: 442.9917)
RR8(tat: 542.7378, ntat: 6.400683597252843, tw: 443.0899)
SPN(tat: 301.5809, ntat: 6.271193543104797, tw: 201.933)
SRT(tat: 246.5438, ntat: 1.620307537073185, tw: 146.8959)
HRRN(tat: 375.7367, ntat: 7.71009960325865, tw: 276.0888)
MLFB1(tat: 542.905, ntat: 4.641917501135862, tw: 443.2571)
MLFB2(tat: 546.329, ntat: 4.304945773898531, tw: 446.6811)
