id,ta,ts,tf
1,209,46,255
3,486,82,568
2,336,220,638
8,1013,17,1030
10,1165,14,1179
6,909,67,1286
5,825,188,1408
4,772,165,1488
11,1509,14,1523
9,1084,219,1597
7,935,144,1600
12,1631,2,1633
17,2217,10,2266
14,2153,44,2286
13,2138,46,2298
19,2352,36,2468
16,2216,74,2613
18,2337,101,2651
23,2686,14,2700
24,2734,15,2749
21,2514,69,2762
15,2196,115,2785
20,2481,146,3105
28,3356,35,3391
25,2970,123,3458
22,2662,218,3485
26,3119,149,3498
27,3159,184,3517
30,3682,23,3705
29,3551,216,3790
31,3985,26,4011
32,4057,83,4140
35,4371,73,4548
37,4579,49,4684
38,4599,48,4708
34,4360,99,4859
33,4334,118,4928
39,4763,74,4946
36,4505,177,4972
41,4998,53,5099
40,4983,123,5159
42,5196,66,5262
44,6165,17,6182
45,6191,44,6267
43,6120,113,6294
46,6625,233,6858
47,7050,7,7057
48,7589,19,7616
49,7591,15,7623
50,7668,32,7708
52,7708,114,7942
51,7686,93,7963
53,7828,74,7981
56,8235,12,8247
55,8201,50,8263
54,8104,158,8380
57,8296,68,8392
59,8807,105,8976
60,8980,70,9074
58,8743,153,9191
62,9328,7,9335
61,9032,446,9524
64,9802,29,9831
63,9600,221,9850
66,10034,23,10057
65,9858,302,10183
68,10300,18,10318
67,10227,118,10363
69,10411,38,10473
71,10602,62,10664
70,10448,272,10783
72,10874,47,10921
74,10993,33,11026
73,10935,65,11033
75,11330,53,11383
76,11446,28,11482
77,11466,94,11624
78,11482,240,11808
79,11836,66,11902
80,11912,66,11978
82,12220,20,12240
83,12297,62,12359
81,12028,272,12382
85,12539,6,12545
84,12457,141,12604
86,12621,206,12827
87,12845,15,12860
88,13011,62,13073
92,13424,24,13448
91,13378,69,13471
89,13221,118,13600
93,13527,73,13677
94,13604,97,13782
90,13282,181,13783
95,14085,4,14089
98,14254,41,14359
97,14183,158,14581
99,14411,115,14640
102,14837,58,14991
100,14648,145,15016
104,15040,20,15072
107,15102,4,15106
103,15023,66,15167
105,15052,66,15299
108,15388,96,15484
96,14183,201,15486
106,15092,133,15499
114,15834,24,15858
117,15995,13,16008
120,16191,20,16235
119,16175,36,16255
122,16307,76,16407
123,16352,45,16428
127,16569,9,16594
124,16469,65,16632
110,15541,190,16862
118,16067,57,16863
109,15539,98,16885
121,16193,71,16900
111,15649,131,16955
125,16491,70,17055
126,16552,75,17065
112,15652,144,17082
101,14809,254,17147
130,17395,26,17421
116,15894,223,17524
128,16985,148,17552
113,15718,266,17573
132,17858,71,18023
134,18046,3,18049
115,15861,274,18514
136,18576,90,18666
133,17952,144,18683
135,18056,136,18699
137,18723,55,18802
139,18932,1,18933
144,19138,3,19141
140,18935,109,19389
147,19493,46,19539
145,19206,105,19588
148,19593,28,19621
143,19117,131,19746
142,19069,137,20106
