id,ta,ts,tf
1,209,46,255
2,336,220,624
3,486,82,638
8,1013,17,1113
6,909,67,1216
4,772,165,1225
10,1165,14,1243
5,825,188,1459
7,935,144,1475
11,1509,14,1537
9,1084,219,1600
12,1631,2,1633
13,2138,46,2224
17,2217,10,2262
14,2153,44,2270
16,2216,74,2440
19,2352,36,2480
15,2196,115,2551
18,2337,101,2676
23,2686,14,2746
21,2514,69,2755
24,2734,15,2786
20,2481,146,2896
22,2662,218,3082
25,2970,123,3185
28,3356,35,3460
26,3119,149,3461
27,3159,184,3517
30,3682,23,3726
29,3551,216,3790
31,3985,26,4011
32,4057,83,4140
35,4371,73,4635
33,4334,118,4693
34,4360,99,4724
37,4579,49,4793
38,4599,48,4797
39,4763,74,4931
36,4505,177,4972
41,4998,53,5104
40,4983,123,5159
42,5196,66,5262
44,6165,17,6205
45,6191,44,6281
43,6120,113,6294
46,6625,233,6858
47,7050,7,7057
49,7591,15,7620
48,7589,19,7623
50,7668,32,7712
51,7686,93,7901
52,7708,114,7963
53,7828,74,7981
56,8235,12,8268
55,8201,50,8322
54,8104,158,8344
57,8296,68,8392
58,8743,153,8992
59,8807,105,9017
60,8980,70,9111
62,9328,7,9342
61,9032,446,9524
63,9600,221,9841
64,9802,29,9850
66,10034,23,10077
65,9858,302,10183
68,10300,18,10337
67,10227,118,10363
69,10411,38,10449
71,10602,62,10727
70,10448,272,10783
72,10874,47,10921
73,10935,65,11008
74,10993,33,11033
75,11330,53,11383
76,11446,28,11482
77,11466,94,11652
78,11482,240,11808
79,11836,66,11902
80,11912,66,11978
82,12220,20,12256
81,12028,272,12340
83,12297,62,12382
85,12539,6,12551
84,12457,141,12604
86,12621,206,12827
87,12845,15,12860
88,13011,62,13073
89,13221,118,13403
92,13424,24,13495
91,13378,69,13564
93,13527,73,13725
90,13282,181,13730
94,13604,97,13783
95,14085,4,14089
98,14254,41,14380
97,14183,158,14606
96,14183,201,14711
99,14411,115,14726
100,14648,145,14899
102,14837,58,14973
104,15040,20,15113
107,15102,4,15125
103,15023,66,15271
105,15052,66,15313
101,14809,254,15435
106,15092,133,15484
108,15388,96,15540
109,15539,98,15838
114,15834,24,15982
117,15995,13,16107
120,16191,20,16387
119,16175,36,16555
111,15649,131,16582
110,15541,190,16660
118,16067,57,16673
127,16569,9,16714
112,15652,144,16738
123,16352,45,16871
121,16193,71,16942
122,16307,76,17058
124,16469,65,17107
125,16491,70,17137
126,16552,75,17184
116,15894,223,17543
130,17395,26,17557
113,15718,266,17579
128,16985,148,17695
115,15861,274,17697
134,18046,3,18064
132,17858,71,18127
133,17952,144,18543
135,18056,136,18603
129,17269,413,18632
136,18576,90,18838
137,18723,55,18913
139,18932,1,18938
144,19138,3,19161
131,17767,414,19191
140,18935,109,19536
148,19593,28,19840
147,19493,46,19890
141,18941,161,19999
145,19206,105,20016
142,19069,137,20077
143,19117,131,20092
138,18724,283,20431
158,20488,3,20530
154,20218,34,20544
149,19675,115,20711
165,20815,3,20870
161,20632,26,21008
153,19995,109,21177
164,20733,38,21331
162,20690,47,21398
157,20405,73,21399
160,20607,59,21454
168,21045,30,21512
146,19407,215,21587
167,20988,45,21640
170,21789,15,21947
171,21943,12,22067
163,20721,116,22127
155,20336,157,22192
152,19936,209,22209
166,20863,120,22265
169,21183,108,22353
175,22286,11,22404
172,22012,38,22410
176,22295,27,22545
178,22483,5,22550
150,19757,275,22601
159,20588,199,22736
177,22299,53,22749
156,20367,230,22787
180,22765,19,22878
174,22115,100,22890
173,22101,113,22947
151,19887,328,22963
181,22804,225,23536
182,23027,181,23589
185,23771,7,23800
184,23677,48,23824
183,23456,220,24060
179,22570,481,24109
188,24115,4,24125
186,23943,56,24129
187,23973,55,24140
191,24258,13,24312
190,24242,30,24334
194,24393,13,24459
192,24262,75,24526
189,24207,174,24688
193,24352,171,24875
198,24921,6,24949
197,24876,88,25197
195,24422,324,25457
196,24739,230,25487
199,24989,193,25576
200,25463,81,25605
201,25612,68,25680
202,25794,128,26010
204,25894,35,26025
208,26341,20,26437
203,25890,252,26645
207,26315,83,26664
206,26261,149,26773
205,25897,304,26777
209,26739,156,26921
210,26969,46,27015
211,27291,22,27313
213,27432,2,27434
212,27352,220,27574
214,27581,36,27657
216,27629,20,27677
215,27585,203,27840
218,27943,8,27957
217,27941,24,27989
219,27951,34,28007
220,28116,73,28189
221,28555,28,28583
222,28644,44,28688
227,29010,26,29152
224,28814,110,29254
223,28762,163,29269
228,29095,38,29307
231,29353,33,29560
233,29501,53,29841
229,29148,152,29977
225,28853,258,30155
232,29400,181,30360
230,29317,242,30522
236,30634,7,30661
239,30737,1,30754
237,30699,27,30833
240,30797,27,30940
238,30721,104,31296
226,28918,494,31314
235,30318,220,31326
242,31038,65,31419
234,29935,328,31423
245,31497,18,31573
243,31118,118,31611
241,30974,187,31886
249,31621,45,31947
248,31614,70,32101
246,31590,87,32180
256,32429,8,32500
247,31610,135,32543
254,32316,37,32620
244,31478,210,32854
250,31754,154,32900
259,32776,19,32939
261,32947,4,32975
251,31814,156,32987
260,32907,33,33196
263,33012,25,33241
253,32015,165,33278
252,31869,192,33318
265,33283,18,33424
262,32948,69,33485
264,33102,59,33520
257,32531,134,33530
258,32688,123,33561
266,33286,73,33614
267,33654,38,33728
255,32414,400,34056
268,33785,92,34092
269,33836,83,34143
271,34058,47,34190
270,33845,102,34192
273,34483,11,34505
272,34450,165,34626
275,34694,35,34765
276,34878,9,34898
274,34694,258,35024
277,34967,109,35105
278,35732,19,35751
279,35792,24,35824
280,35807,28,35844
281,35918,59,36017
284,36107,8,36129
285,36130,12,36173
283,36020,68,36185
286,36136,76,36313
282,35936,229,36370
287,36454,103,36649
290,36807,5,36826
289,36747,38,36828
288,36464,229,36829
291,36974,51,37025
292,37066,23,37089
293,37251,20,37287
294,37254,80,37351
295,37600,50,37650
296,37829,68,37961
297,37832,77,37994
298,37962,123,38437
303,38269,39,38564
301,38063,104,38684
305,38411,37,38765
302,38265,74,38883
309,38582,36,38927
304,38324,71,38970
316,39083,11,39229
307,38480,73,39254
311,38814,51,39405
318,39226,23,39516
300,38045,192,39576
319,39350,18,39590
320,39537,25,39835
317,39152,64,39883
321,39693,18,39901
312,38864,96,39933
314,38896,113,40166
315,38956,111,40181
326,40118,5,40206
299,37970,286,40208
310,38764,134,40230
313,38870,125,40255
306,38420,188,40319
308,38514,177,40332
322,39904,50,40334
327,40355,15,40437
325,40071,63,40496
328,40357,46,40686
331,40462,45,40843
330,40410,61,40896
336,41323,15,41447
334,40642,114,41449
335,41182,74,41727
323,39949,262,41813
329,40410,198,41815
333,40507,206,41973
338,41598,56,42017
341,41950,32,42153
340,41854,63,42244
343,42493,16,42588
337,41571,178,42622
324,39981,411,42633
332,40472,359,42688
342,42380,127,42867
345,42797,19,42874
346,42868,20,42946
339,41621,277,42959
344,42730,67,42966
347,42877,76,43018
348,43323,188,43511
350,43633,51,43733
349,43606,165,43938
351,43751,82,43964
354,43987,2,43994
353,43918,96,44130
355,44200,47,44325
357,44269,57,44458
356,44252,76,44482
352,43816,354,44536
358,44584,156,44740
359,44903,84,45035
360,44938,403,45390
361,45542,43,45585
362,45705,11,45720
363,45710,19,45735
364,45787,37,45824
365,45874,7,45881
366,45895,6,45901
367,45905,164,46069
368,46161,49,46210
370,46274,8,46289
369,46217,315,46540
371,46720,25,46773
375,46839,8,46869
372,46722,175,47388
380,47387,3,47415
376,46957,85,47432
379,47303,34,47546
381,47394,27,47577
374,46834,159,47636
373,46761,207,47691
377,47016,140,47795
388,47796,13,47924
386,47763,22,47946
383,47661,61,48071
384,47731,58,48141
389,47879,63,48272
378,47160,219,48411
393,48519,11,48598
382,47462,219,48641
397,48670,2,48703
396,48654,17,48812
399,48907,4,48940
391,48505,70,49026
390,48456,93,49111
385,47742,227,49122
